,clas,clas_t,reg,reg_T
1459,[[0.8043097  0.09295339 0.10273688]],[[1. 0. 0.]],[[-0.99955475]],[0]
1460,[[0.95721126 0.01524513 0.02754364]],[[1. 0. 0.]],[[-1.]],[0]
1461,[[0.06175213 0.4787428  0.45950502]],[[0. 1. 0.]],[[34.414753]],[40]
1462,[[0.06325036 0.47050515 0.46624443]],[[0. 0. 1.]],[[37.965687]],[24]
1463,[[0.75562245 0.12073217 0.12364537]],[[1. 0. 0.]],[[-0.9951825]],[0]
1464,[[9.9748588e-01 8.2621677e-04 1.6879449e-03]],[[0. 0. 1.]],[[-1.]],[44]
1465,[[0.31432915 0.33519718 0.3504737 ]],[[0. 1. 0.]],[[7.1081543]],[24]
1466,[[0.04858669 0.4925866  0.45882666]],[[0. 0. 1.]],[[43.859146]],[12]
1467,[[0.15108089 0.43852335 0.41039574]],[[0. 1. 0.]],[[23.225813]],[16]
1468,[[0.17431575 0.41266134 0.41302294]],[[0. 0. 1.]],[[16.67848]],[12]
1469,[[0.06003197 0.49260587 0.4473622 ]],[[0. 0. 1.]],[[37.998158]],[32]
1470,[[0.98821497 0.00407933 0.00770569]],[[1. 0. 0.]],[[-1.]],[0]
1471,[[9.9854928e-01 4.3613673e-04 1.0145513e-03]],[[1. 0. 0.]],[[-1.]],[0]
1472,[[9.9766457e-01 9.8545419e-04 1.3499861e-03]],[[1. 0. 0.]],[[-1.]],[0]
1473,[[0.10002635 0.48869604 0.4112776 ]],[[0. 1. 0.]],[[28.477438]],[18]
1474,[[0.14497328 0.44530866 0.40971813]],[[0. 1. 0.]],[[25.096922]],[64]
1475,[[0.04988577 0.47702226 0.47309196]],[[0. 1. 0.]],[[42.923077]],[38]
1476,[[0.9968449  0.00192877 0.00122637]],[[1. 0. 0.]],[[-1.]],[0]
1477,[[0.05477144 0.4932393  0.45198923]],[[0. 1. 0.]],[[38.048244]],[36]
1478,[[0.11133758 0.4611285  0.42753398]],[[0. 0. 1.]],[[27.677328]],[88]
1479,[[0.17076814 0.43506742 0.3941644 ]],[[0. 0. 1.]],[[21.642935]],[28]
1480,[[0.02061297 0.49834254 0.48104447]],[[0. 0. 1.]],[[58.72323]],[92]
1481,[[0.9783971  0.00946564 0.01213733]],[[1. 0. 0.]],[[-1.]],[0]
1482,[[0.9509339  0.02222228 0.02684382]],[[1. 0. 0.]],[[-1.]],[0]
1483,[[0.02715139 0.48382294 0.4890256 ]],[[0. 0. 1.]],[[56.10829]],[36]
1484,[[0.03480434 0.49179804 0.47339764]],[[0. 1. 0.]],[[46.134983]],[56]
1485,[[0.10064255 0.45318013 0.44617733]],[[0. 0. 1.]],[[32.01566]],[28]
1486,[[0.9848862  0.00643617 0.0086776 ]],[[1. 0. 0.]],[[-1.]],[0]
1487,[[0.97240406 0.01110788 0.01648804]],[[1. 0. 0.]],[[-1.]],[0]
1488,[[0.43300298 0.31815583 0.2488412 ]],[[1. 0. 0.]],[[4.9342356]],[0]
1489,[[0.12099223 0.45127624 0.42773154]],[[0. 0. 1.]],[[24.669914]],[28]
1490,[[0.13539025 0.44155008 0.42305967]],[[0. 1. 0.]],[[23.6796]],[15]
1491,[[0.07349059 0.48031944 0.44619   ]],[[0. 1. 0.]],[[33.14941]],[12]
1492,[[0.22623974 0.39161873 0.38214147]],[[0. 0. 1.]],[[14.234239]],[10]
1493,[[0.1260516  0.47100672 0.40294173]],[[0. 1. 0.]],[[25.028305]],[36]
1494,[[0.1836188  0.41824016 0.39814097]],[[0. 0. 1.]],[[20.653563]],[28]
1495,[[0.26536828 0.38200045 0.35263127]],[[0. 0. 1.]],[[13.028656]],[20]
1496,[[0.03245623 0.49233243 0.47521126]],[[0. 0. 1.]],[[46.92199]],[84]
1497,[[0.5544638  0.22737384 0.21816233]],[[1. 0. 0.]],[[-0.70365334]],[0]
1498,[[0.84499395 0.07990251 0.07510349]],[[1. 0. 0.]],[[-0.9999999]],[0]
1499,[[0.04725052 0.48796833 0.4647812 ]],[[0. 1. 0.]],[[41.03165]],[32]
1500,[[0.08029439 0.4851998  0.43450576]],[[0. 0. 1.]],[[31.976229]],[36]
1501,[[0.15979566 0.44291538 0.39728904]],[[0. 0. 1.]],[[21.24739]],[8]
1502,[[0.15246814 0.4397266  0.40780532]],[[0. 1. 0.]],[[21.781345]],[32]
1503,[[0.11740593 0.45845345 0.4241406 ]],[[0. 1. 0.]],[[24.7701]],[16]
1504,[[0.6843314  0.15822813 0.15744047]],[[0. 1. 0.]],[[-0.9999196]],[12]
1505,[[0.10551465 0.47206637 0.42241898]],[[0. 0. 1.]],[[28.20148]],[32]
1506,[[0.07955628 0.46138015 0.45906353]],[[0. 1. 0.]],[[33.94371]],[20]
1507,[[0.07547349 0.501473   0.42305347]],[[0. 0. 1.]],[[35.072716]],[16]
1508,[[0.91615814 0.0434172  0.0404247 ]],[[0. 1. 0.]],[[-1.]],[4]
1509,[[0.28576547 0.35584423 0.35839033]],[[0. 1. 0.]],[[17.607513]],[48]
1510,[[0.26855206 0.3754702  0.35597774]],[[0. 1. 0.]],[[12.555427]],[18]
1511,[[0.01542842 0.52154917 0.46302244]],[[0. 1. 0.]],[[54.149776]],[30]
1512,[[0.09295573 0.47987464 0.42716953]],[[0. 1. 0.]],[[29.447493]],[14]
1513,[[0.9542303  0.01815938 0.02761023]],[[1. 0. 0.]],[[-1.]],[0]
1514,[[0.08471048 0.4795946  0.43569502]],[[0. 1. 0.]],[[31.32358]],[20]
1515,[[0.37173554 0.32413247 0.304132  ]],[[1. 0. 0.]],[[8.325426]],[0]
1516,[[0.09549455 0.4746473  0.4298581 ]],[[1. 0. 0.]],[[30.555014]],[0]
1517,[[0.06558849 0.47634062 0.45807084]],[[0. 1. 0.]],[[37.06284]],[10]
1518,[[0.12465666 0.45144898 0.4238944 ]],[[0. 1. 0.]],[[25.757908]],[32]
1519,[[0.26972216 0.38433927 0.34593853]],[[1. 0. 0.]],[[13.904143]],[0]
1520,[[0.1069288  0.46950352 0.42356777]],[[0. 1. 0.]],[[27.774109]],[12]
1521,[[0.0956763  0.46387774 0.44044596]],[[0. 0. 1.]],[[27.086735]],[40]
1522,[[0.11345203 0.46064746 0.4259005 ]],[[0. 1. 0.]],[[26.949106]],[36]
1523,[[0.09150971 0.48578337 0.42270693]],[[0. 1. 0.]],[[31.14867]],[36]
1524,[[0.05699829 0.48377058 0.45923117]],[[0. 1. 0.]],[[37.809525]],[24]
1525,[[0.06584851 0.4725637  0.4615878 ]],[[1. 0. 0.]],[[37.426895]],[0]
1526,[[0.07881504 0.48072627 0.4404587 ]],[[0. 1. 0.]],[[32.071785]],[10]
1527,[[0.13697203 0.42809215 0.4349358 ]],[[1. 0. 0.]],[[27.259329]],[0]
1528,[[0.09569728 0.47603238 0.42827028]],[[0. 1. 0.]],[[29.177767]],[20]
1529,[[0.06430311 0.47765762 0.4580393 ]],[[0. 1. 0.]],[[31.817404]],[50]
1530,[[0.19160356 0.4187627  0.38963372]],[[0. 0. 1.]],[[19.035036]],[13]
1531,[[0.08226028 0.47767282 0.44006693]],[[0. 0. 1.]],[[31.653036]],[12]
1532,[[9.9884725e-01 3.3414763e-04 8.1864855e-04]],[[1. 0. 0.]],[[-1.]],[0]
1533,[[0.8323379  0.06072667 0.10693532]],[[1. 0. 0.]],[[-1.]],[0]
1534,[[0.9448051  0.02589587 0.02929905]],[[1. 0. 0.]],[[-1.]],[0]
1535,[[0.3713767  0.30956006 0.3190632 ]],[[0. 1. 0.]],[[13.588605]],[8]
1536,[[0.9351839  0.02593313 0.038883  ]],[[1. 0. 0.]],[[-1.]],[0]
1537,[[0.16150615 0.40003866 0.43845522]],[[1. 0. 0.]],[[14.735315]],[0]
1538,[[0.96557873 0.01597666 0.01844453]],[[1. 0. 0.]],[[-1.]],[0]
1539,[[0.02868983 0.4911103  0.48019987]],[[0. 1. 0.]],[[54.3798]],[56]
1540,[[0.00231193 0.54643273 0.45125535]],[[0. 0. 1.]],[[80.60057]],[68]
1541,[[0.09000298 0.49183315 0.41816384]],[[0. 1. 0.]],[[29.747871]],[24]
1542,[[0.1390539  0.46502683 0.39591926]],[[0. 0. 1.]],[[24.476967]],[26]
1543,[[0.1770668  0.41935635 0.40357682]],[[1. 0. 0.]],[[14.172034]],[0]
1544,[[0.18078339 0.42996025 0.38925633]],[[0. 0. 1.]],[[21.105364]],[30]
1545,[[0.92948955 0.03396784 0.03654264]],[[1. 0. 0.]],[[-1.]],[0]
1546,[[0.09478823 0.4758047  0.42940706]],[[0. 0. 1.]],[[30.563583]],[42]
1547,[[0.10968263 0.48162174 0.40869567]],[[0. 0. 1.]],[[28.646576]],[48]
1548,[[0.03823612 0.5223834  0.4393805 ]],[[0. 1. 0.]],[[41.27302]],[116]
1549,[[0.3979348  0.30472594 0.2973393 ]],[[1. 0. 0.]],[[8.288456]],[0]
1550,[[0.0510461 0.4987824 0.4501715]],[[0. 1. 0.]],[[39.61118]],[46]
1551,[[0.04968287 0.49860522 0.45171186]],[[0. 0. 1.]],[[40.81458]],[40]
1552,[[0.2162134  0.41932276 0.36446387]],[[0. 1. 0.]],[[17.69852]],[10]
1553,[[0.07699223 0.47237143 0.45063636]],[[0. 1. 0.]],[[33.88862]],[20]
1554,[[0.08495899 0.7570688  0.15797217]],[[1. 0. 0.]],[[38.013054]],[0]
1555,[[0.07701288 0.499449   0.4235381 ]],[[0. 0. 1.]],[[34.131355]],[34]
1556,[[0.06940756 0.49940354 0.43118894]],[[0. 1. 0.]],[[33.168514]],[16]
1557,[[0.06374885 0.50037694 0.43587416]],[[0. 0. 1.]],[[35.487553]],[42]
1558,[[0.07490632 0.46257597 0.46251774]],[[0. 1. 0.]],[[-1.]],[36]
1559,[[0.08411091 0.50414443 0.41174474]],[[1. 0. 0.]],[[30.069195]],[0]
1560,[[0.07563776 0.47605234 0.44830996]],[[0. 1. 0.]],[[31.718378]],[24]
1561,[[0.02125809 0.5248492  0.45389268]],[[0. 0. 1.]],[[50.109577]],[32]
1562,[[0.06121916 0.50977063 0.4290102 ]],[[0. 1. 0.]],[[36.309998]],[14]
1563,[[0.11688769 0.4582189  0.4248934 ]],[[0. 1. 0.]],[[27.009651]],[24]
1564,[[0.16531993 0.43727276 0.39740735]],[[0. 1. 0.]],[[22.62123]],[36]
1565,[[0.1260516  0.47100672 0.40294173]],[[0. 0. 1.]],[[25.028305]],[32]
1566,[[9.9999964e-01 6.4808148e-08 2.4074373e-07]],[[1. 0. 0.]],[[-1.]],[0]
1567,[[0.3845726  0.32208377 0.29334366]],[[0. 1. 0.]],[[10.739305]],[16]
1568,[[0.12948376 0.4473158  0.4232005 ]],[[0. 0. 1.]],[[24.930595]],[16]
1569,[[0.07755749 0.46842635 0.45401615]],[[0. 1. 0.]],[[35.90007]],[22]
1570,[[0.84245795 0.05542698 0.10211509]],[[1. 0. 0.]],[[-1.]],[0]
1571,[[0.07874908 0.4826733  0.4385776 ]],[[0. 0. 1.]],[[31.310434]],[21]
1572,[[0.07310783 0.4856785  0.44121373]],[[0. 1. 0.]],[[32.83409]],[32]
1573,[[0.24798793 0.3808504  0.3711617 ]],[[0. 0. 1.]],[[11.10941]],[30]
1574,[[0.08433181 0.44741845 0.46824974]],[[0. 0. 1.]],[[42.484406]],[60]
1575,[[0.02868983 0.4911103  0.48019987]],[[0. 0. 1.]],[[54.3798]],[28]
1576,[[9.9999809e-01 2.8232043e-07 1.6391232e-06]],[[1. 0. 0.]],[[-1.]],[0]
1577,[[0.20028119 0.4106177  0.38910112]],[[0. 0. 1.]],[[18.221966]],[18]
1578,[[0.07594261 0.47597235 0.44808504]],[[0. 0. 1.]],[[33.101402]],[33]
1579,[[0.14630911 0.43900433 0.41468656]],[[0. 1. 0.]],[[26.616617]],[28]
1580,[[0.2999894 0.3739447 0.3260659]],[[1. 0. 0.]],[[14.423095]],[0]
1581,[[0.13790618 0.4440572  0.41803658]],[[0. 1. 0.]],[[25.18527]],[32]
1582,[[0.08487728 0.47304663 0.44207606]],[[0. 1. 0.]],[[33.34085]],[44]
1583,[[0.12571746 0.45051044 0.4237721 ]],[[0. 1. 0.]],[[26.053333]],[19]
1584,[[0.08629341 0.46324104 0.45046547]],[[0. 0. 1.]],[[30.5813]],[34]
1585,[[0.1208824  0.45003146 0.42908618]],[[0. 1. 0.]],[[25.97146]],[38]
1586,[[0.8760092  0.05728875 0.06670213]],[[1. 0. 0.]],[[-0.99999624]],[0]
1587,[[0.12293402 0.450839   0.4262269 ]],[[0. 0. 1.]],[[25.843754]],[22]
1588,[[0.09193787 0.48512676 0.42293537]],[[0. 0. 1.]],[[30.854004]],[32]
1589,[[0.06255264 0.50264806 0.43479928]],[[0. 1. 0.]],[[34.54641]],[24]
1590,[[0.4685019  0.24975261 0.28174546]],[[1. 0. 0.]],[[-0.9901959]],[0]
1591,[[0.7428929  0.0917966  0.16531044]],[[1. 0. 0.]],[[-1.]],[0]
1592,[[0.10308485 0.4767326  0.42018253]],[[0. 1. 0.]],[[29.68484]],[21]
1593,[[0.1610478  0.43480286 0.4041494 ]],[[0. 0. 1.]],[[21.41311]],[14]
1594,[[0.09742552 0.4864876  0.41608685]],[[0. 0. 1.]],[[29.902254]],[24]
1595,[[0.17689072 0.422723   0.40038627]],[[1. 0. 0.]],[[20.95346]],[0]
1596,[[0.08254772 0.48618254 0.43126976]],[[0. 1. 0.]],[[32.236374]],[20]
1597,[[0.15306978 0.44762638 0.39930385]],[[0. 1. 0.]],[[22.414131]],[44]
1598,[[0.73746926 0.12764858 0.13488218]],[[1. 0. 0.]],[[-0.45419413]],[0]
1599,[[0.2073713  0.43036547 0.36226326]],[[0. 1. 0.]],[[18.596655]],[8]
1600,[[0.10569603 0.46979168 0.4245122 ]],[[0. 0. 1.]],[[28.40576]],[24]
1601,[[0.95156795 0.02303712 0.02539497]],[[1. 0. 0.]],[[-1.]],[0]
1602,[[0.10213703 0.4826543  0.41520867]],[[0. 0. 1.]],[[28.214056]],[18]
1603,[[0.03024873 0.4910429  0.47870836]],[[0. 0. 1.]],[[50.420124]],[52]
1604,[[0.0487098  0.48071536 0.47057486]],[[0. 1. 0.]],[[41.550186]],[62]
1605,[[0.65087676 0.14632489 0.20279837]],[[1. 0. 0.]],[[-1.]],[0]
1606,[[0.08561744 0.47660396 0.4377786 ]],[[0. 0. 1.]],[[31.260077]],[22]
1607,[[0.0761891  0.48618552 0.43762538]],[[0. 1. 0.]],[[32.844322]],[64]
1608,[[0.9754287  0.01136946 0.01320182]],[[1. 0. 0.]],[[-1.]],[0]
1609,[[0.09331984 0.4642779  0.4424022 ]],[[0. 0. 1.]],[[29.52708]],[16]
1610,[[0.05066375 0.48878482 0.46055144]],[[0. 0. 1.]],[[41.058704]],[48]
1611,[[0.5461384  0.21917374 0.23468788]],[[1. 0. 0.]],[[0.56657654]],[0]
1612,[[0.9596967  0.01803825 0.02226507]],[[1. 0. 0.]],[[-1.]],[0]
1613,[[0.16092506 0.43353334 0.40554157]],[[0. 0. 1.]],[[22.593042]],[12]
1614,[[0.13926642 0.44190776 0.41882583]],[[0. 0. 1.]],[[24.046541]],[22]
1615,[[0.9853947  0.00688509 0.00772027]],[[1. 0. 0.]],[[-1.]],[0]
1616,[[0.10168953 0.48187023 0.41644025]],[[0. 0. 1.]],[[29.319986]],[22]
1617,[[0.2544861  0.37902772 0.3664862 ]],[[1. 0. 0.]],[[14.804832]],[0]
1618,[[0.06899306 0.47629887 0.45470816]],[[0. 1. 0.]],[[36.182373]],[36]
1619,[[0.13087624 0.4510723  0.41805145]],[[1. 0. 0.]],[[24.539568]],[0]
1620,[[0.09647774 0.4746174  0.42890495]],[[0. 0. 1.]],[[30.001411]],[32]
1621,[[0.04781662 0.5207921  0.4313913 ]],[[0. 0. 1.]],[[38.302364]],[38]
1622,[[0.7445862  0.11184124 0.14357257]],[[1. 0. 0.]],[[-1.]],[0]
1623,[[9.971545e-01 8.294735e-04 2.015987e-03]],[[1. 0. 0.]],[[-1.]],[0]
1624,[[0.07986294 0.49040094 0.4297361 ]],[[0. 0. 1.]],[[32.726135]],[28]
1625,[[0.81548953 0.09121674 0.09329373]],[[1. 0. 0.]],[[-0.9998868]],[0]
1626,[[0.35826504 0.32880238 0.31293255]],[[0. 0. 1.]],[[10.772601]],[6]
1627,[[0.14899912 0.4439793  0.4070216 ]],[[0. 0. 1.]],[[22.630156]],[24]
1628,[[0.9046146  0.03444242 0.06094298]],[[1. 0. 0.]],[[-1.]],[0]
1629,[[0.99548125 0.00197354 0.00254531]],[[1. 0. 0.]],[[-1.]],[0]
1630,[[0.12455201 0.46055087 0.41489705]],[[0. 1. 0.]],[[25.618774]],[28]
1631,[[0.04616359 0.520242   0.43359447]],[[0. 1. 0.]],[[39.080257]],[24]
1632,[[0.11535505 0.46013418 0.42451075]],[[0. 1. 0.]],[[26.52496]],[28]
1633,[[0.08657777 0.46971336 0.44370884]],[[0. 1. 0.]],[[30.42761]],[26]
1634,[[0.1332013  0.4510978  0.41570085]],[[0. 1. 0.]],[[24.657925]],[48]
1635,[[0.19242185 0.41993776 0.38764036]],[[0. 1. 0.]],[[19.416512]],[16]
1636,[[0.11153806 0.4628841  0.42557785]],[[0. 0. 1.]],[[26.997375]],[16]
1637,[[0.07255243 0.50250596 0.42494163]],[[0. 0. 1.]],[[34.182426]],[6]
1638,[[0.19898811 0.41815552 0.38285637]],[[0. 0. 1.]],[[18.466967]],[8]
1639,[[0.03766078 0.5384293  0.4239099 ]],[[0. 0. 1.]],[[42.159325]],[32]
1640,[[0.28697646 0.35018682 0.36283672]],[[0. 1. 0.]],[[11.190503]],[14]
1641,[[0.09941577 0.47495022 0.425634  ]],[[0. 1. 0.]],[[29.340963]],[42]
1642,[[0.11522953 0.4592939  0.42547652]],[[0. 0. 1.]],[[25.584354]],[20]
1643,[[0.14427593 0.4514392  0.40428486]],[[1. 0. 0.]],[[23.023233]],[0]
1644,[[0.93302476 0.0316628  0.0353124 ]],[[1. 0. 0.]],[[-1.]],[0]
1645,[[0.09161138 0.4704271  0.43796152]],[[0. 1. 0.]],[[29.27173]],[44]
1646,[[0.9824844  0.00805987 0.00945582]],[[1. 0. 0.]],[[-1.]],[0]
1647,[[0.7875437  0.09875652 0.11369969]],[[1. 0. 0.]],[[-0.7976706]],[0]
1648,[[0.925581   0.02519723 0.04922178]],[[1. 0. 0.]],[[-1.]],[0]
1649,[[0.24998891 0.38017914 0.36983195]],[[0. 0. 1.]],[[14.70949]],[12]
1650,[[0.09908271 0.46978217 0.43113515]],[[0. 0. 1.]],[[28.891903]],[14]
1651,[[0.33875936 0.3500214  0.31121922]],[[1. 0. 0.]],[[8.681934]],[0]
1652,[[0.2049434  0.40110078 0.39395577]],[[0. 0. 1.]],[[18.297298]],[16]
1653,[[0.1002465  0.47341496 0.4263385 ]],[[1. 0. 0.]],[[28.444904]],[0]
1654,[[0.17212014 0.4377783  0.3901015 ]],[[0. 1. 0.]],[[20.820965]],[12]
1655,[[0.9215732  0.03825399 0.04017289]],[[1. 0. 0.]],[[-1.]],[0]
1656,[[0.9359525  0.03218089 0.03186658]],[[1. 0. 0.]],[[-1.]],[0]
1657,[[0.09632343 0.461207   0.44246963]],[[0. 1. 0.]],[[28.027735]],[28]
1658,[[0.09281956 0.48111972 0.4260607 ]],[[0. 0. 1.]],[[30.02154]],[14]
1659,[[0.9698257  0.0147231  0.01545128]],[[1. 0. 0.]],[[-1.]],[0]
1660,[[0.11844876 0.45821515 0.42333606]],[[0. 1. 0.]],[[26.713455]],[32]
1661,[[0.1028524  0.46346793 0.43367973]],[[0. 1. 0.]],[[27.506413]],[16]
1662,[[0.9171753  0.04165195 0.04117276]],[[1. 0. 0.]],[[-1.]],[0]
1663,[[9.9989522e-01 2.5360634e-05 7.9378719e-05]],[[1. 0. 0.]],[[-1.]],[0]
1664,[[0.81164896 0.10112679 0.08722429]],[[0. 0. 1.]],[[-1.]],[14]
1665,[[0.09149493 0.478449   0.43005615]],[[0. 1. 0.]],[[29.492115]],[37]
1666,[[0.18492746 0.42818642 0.38688615]],[[0. 1. 0.]],[[20.993643]],[8]
1667,[[0.02900022 0.5309243  0.44007543]],[[0. 1. 0.]],[[44.82359]],[60]
1668,[[0.25828296 0.37363037 0.3680866 ]],[[1. 0. 0.]],[[17.174591]],[0]
1669,[[0.32022455 0.3511655  0.32860985]],[[0. 1. 0.]],[[10.6457815]],[32]
1670,[[0.07295594 0.47280475 0.45423928]],[[0. 1. 0.]],[[35.587677]],[44]
1671,[[0.6740112  0.16088316 0.16510561]],[[1. 0. 0.]],[[-0.9702903]],[0]
1672,[[0.08383174 0.47968817 0.4364801 ]],[[0. 0. 1.]],[[31.854496]],[16]
1673,[[0.04882427 0.4908319  0.46034375]],[[0. 0. 1.]],[[40.730232]],[56]
1674,[[0.03758146 0.47439525 0.48802328]],[[0. 1. 0.]],[[49.80757]],[28]
1675,[[0.19098848 0.4115028  0.39750868]],[[0. 0. 1.]],[[18.327787]],[12]
1676,[[0.15204763 0.44698974 0.40096256]],[[0. 1. 0.]],[[23.009542]],[28]
1677,[[0.100263   0.46992213 0.42981482]],[[0. 0. 1.]],[[33.197403]],[28]
1678,[[0.35119307 0.357539   0.29126793]],[[1. 0. 0.]],[[7.5703115]],[0]
1679,[[0.8233606  0.08535799 0.09128143]],[[1. 0. 0.]],[[-0.9999969]],[0]
1680,[[0.15107194 0.44169456 0.40723348]],[[0. 0. 1.]],[[21.751146]],[12]
1681,[[0.10826062 0.46580258 0.4259368 ]],[[0. 1. 0.]],[[26.767776]],[28]
1682,[[0.07403986 0.487441   0.43851918]],[[0. 0. 1.]],[[32.91458]],[34]
1683,[[0.6033893  0.19527878 0.20133188]],[[0. 0. 1.]],[[-0.9999952]],[6]
1684,[[0.10035034 0.45994413 0.43970558]],[[0. 1. 0.]],[[27.98398]],[28]
1685,[[0.06809115 0.49974942 0.43215933]],[[0. 0. 1.]],[[34.617737]],[26]
1686,[[0.6758177  0.15591945 0.16826281]],[[1. 0. 0.]],[[1.8615417]],[0]
1687,[[0.10209367 0.47278446 0.42512187]],[[0. 0. 1.]],[[28.47493]],[56]
1688,[[0.04405555 0.5012773  0.45466712]],[[0. 1. 0.]],[[39.34169]],[46]
1689,[[0.8414724  0.0758153  0.08271234]],[[1. 0. 0.]],[[-0.9999823]],[0]
1690,[[0.04103847 0.48905283 0.46990868]],[[0. 1. 0.]],[[48.31521]],[72]
1691,[[0.23689578 0.4232568  0.33984745]],[[0. 1. 0.]],[[15.2510395]],[14]
1692,[[0.074481   0.49045116 0.4350678 ]],[[0. 1. 0.]],[[33.19599]],[12]
1693,[[0.15751599 0.43274555 0.40973842]],[[0. 0. 1.]],[[20.062876]],[12]
1694,[[0.01452489 0.5226677  0.4628074 ]],[[0. 0. 1.]],[[56.08835]],[52]
1695,[[0.6623191  0.13898112 0.1986998 ]],[[1. 0. 0.]],[[-0.99999666]],[0]
1696,[[0.02999755 0.4847549  0.48524764]],[[0. 0. 1.]],[[54.85243]],[40]
1697,[[0.04249635 0.51273936 0.4447643 ]],[[0. 1. 0.]],[[42.16196]],[26]
1698,[[0.78521377 0.09397531 0.12081086]],[[1. 0. 0.]],[[-1.]],[0]
1699,[[0.11106264 0.45731473 0.43162262]],[[0. 0. 1.]],[[27.107677]],[24]
1700,[[0.18153402 0.42694488 0.39152113]],[[0. 1. 0.]],[[20.985949]],[24]
1701,[[0.10078289 0.47431967 0.42489743]],[[0. 1. 0.]],[[28.491375]],[12]
1702,[[0.42156085 0.30522814 0.273211  ]],[[0. 1. 0.]],[[6.1214104]],[8]
1703,[[0.11332975 0.48016062 0.4065097 ]],[[0. 1. 0.]],[[27.770676]],[24]
1704,[[0.1534682  0.43374786 0.41278398]],[[0. 1. 0.]],[[22.724514]],[40]
1705,[[0.16128215 0.42549244 0.41322538]],[[0. 0. 1.]],[[20.223886]],[12]
1706,[[0.20163377 0.4150528  0.38331345]],[[0. 0. 1.]],[[18.220472]],[12]
1707,[[0.8515762  0.07066833 0.07775553]],[[1. 0. 0.]],[[-0.9999879]],[0]
1708,[[0.8929206  0.05062823 0.05645113]],[[1. 0. 0.]],[[-0.9999999]],[0]
1709,[[0.10584251 0.46787053 0.4262869 ]],[[0. 1. 0.]],[[28.135593]],[20]
1710,[[0.06966759 0.5007706  0.4295618 ]],[[0. 0. 1.]],[[34.963997]],[46]
1711,[[0.09026606 0.46417552 0.44555834]],[[0. 0. 1.]],[[29.7068]],[38]
1712,[[0.06623682 0.50170285 0.4320603 ]],[[1. 0. 0.]],[[35.26059]],[0]
1713,[[0.10330109 0.4721016  0.42459732]],[[1. 0. 0.]],[[26.807634]],[0]
1714,[[0.26193064 0.38100553 0.35706383]],[[0. 0. 1.]],[[13.982088]],[8]
1715,[[0.12940906 0.44570962 0.42488137]],[[0. 1. 0.]],[[26.257366]],[60]
1716,[[0.4960617  0.24393985 0.25999847]],[[1. 0. 0.]],[[5.4468384]],[0]
1717,[[0.9729599  0.01160349 0.01543668]],[[1. 0. 0.]],[[-1.]],[0]
1718,[[0.774294   0.10671927 0.11898662]],[[1. 0. 0.]],[[-0.99947834]],[0]
1719,[[0.10154887 0.45970765 0.4387435 ]],[[0. 1. 0.]],[[28.034668]],[22]
1720,[[0.12138952 0.4658447  0.4127658 ]],[[0. 1. 0.]],[[25.932793]],[40]
1721,[[0.08395298 0.46992645 0.44612053]],[[0. 0. 1.]],[[31.455246]],[38]
1722,[[0.10958993 0.46069232 0.42971784]],[[0. 0. 1.]],[[28.805231]],[40]
1723,[[0.14227755 0.44718188 0.41054052]],[[0. 0. 1.]],[[24.337416]],[28]
1724,[[0.13475722 0.45524386 0.40999892]],[[1. 0. 0.]],[[25.302753]],[0]
1725,[[0.70950776 0.1133856  0.17710666]],[[1. 0. 0.]],[[-0.9999982]],[0]
1726,[[0.09821244 0.479562   0.42222556]],[[0. 1. 0.]],[[28.668814]],[20]
1727,[[0.9133722  0.04506296 0.04156483]],[[1. 0. 0.]],[[-1.]],[0]
1728,[[0.43124092 0.29194495 0.27681407]],[[1. 0. 0.]],[[7.9307566]],[0]
1729,[[0.08536745 0.49732307 0.41730946]],[[0. 0. 1.]],[[30.626017]],[28]
1730,[[0.7499997  0.10040642 0.14959387]],[[1. 0. 0.]],[[-1.]],[0]
1731,[[0.92125386 0.03717787 0.04156834]],[[1. 0. 0.]],[[-1.]],[0]
1732,[[0.9968449  0.00192877 0.00122637]],[[1. 0. 0.]],[[-1.]],[0]
1733,[[0.16443095 0.43600667 0.39956233]],[[0. 0. 1.]],[[22.466208]],[56]
1734,[[0.08318198 0.46737984 0.44943815]],[[0. 1. 0.]],[[32.15491]],[32]
1735,[[0.0521226  0.507943   0.43993443]],[[0. 0. 1.]],[[38.34507]],[10]
1736,[[0.14451192 0.4455935  0.40989456]],[[0. 0. 1.]],[[24.74905]],[40]
1737,[[0.98920095 0.00487351 0.00592559]],[[1. 0. 0.]],[[-1.]],[0]
1738,[[0.10558528 0.4492581  0.44515666]],[[0. 0. 1.]],[[27.931292]],[48]
1739,[[0.04279255 0.4987978  0.45840964]],[[0. 0. 1.]],[[40.64265]],[31]
1740,[[0.98099595 0.00858419 0.01041997]],[[1. 0. 0.]],[[-1.]],[0]
1741,[[0.93551254 0.02365268 0.04083484]],[[1. 0. 0.]],[[-1.]],[0]
1742,[[0.04379835 0.4836385  0.47256315]],[[0. 0. 1.]],[[45.279816]],[32]
1743,[[0.12124447 0.45552585 0.42322966]],[[0. 1. 0.]],[[26.428385]],[24]
1744,[[0.9010282  0.05009742 0.0488743 ]],[[1. 0. 0.]],[[-1.]],[0]
1745,[[0.04384527 0.4842288  0.4719259 ]],[[0. 0. 1.]],[[42.48232]],[30]
